Imagename,Depth,lat,lon,alt,num,fn
201503.20150518.153457267.429925.png,55.65,38.355632,-74.207187,2.31,0,0
201503.20150518.153719534.430775.png,53.95,38.352705,-74.202855,1.24,0,0
201503.20150518.154011070.431800.png,53.72,38.349148,-74.197448,2.34,0,0
201503.20150518.155359487.436750.png,54.6,38.331785,-74.171965,2.16,0,0
201503.20150518.160011855.438975.png,54.44,38.323703,-74.160813,1.81,0,0
201503.20150518.161737835.445225.png,59.13,38.302872,-74.128467,2.05,0,0
201503.20150518.162551536.448175.png,60.98,38.294175,-74.112145,2.18,0,0
201503.20150518.173415973.472700.png,70.06,38.215085,-73.981793,1.84,0,0
201503.20150518.175441871.480025.png,72.37,38.216535,-73.945575,1.41,0,0
201503.20150518.181318983.486700.png,74.53,38.237478,-73.913922,2.04,0,0
201503.20150518.184605422.498450.png,74.03,38.292042,-73.8894,1.73,0,0
201503.20150518.193158456.514900.png,62.5,38.353273,-73.953092,2.33,0,0
201503.20150518.193926138.517575.png,61.55,38.362607,-73.965873,2.33,0,0
201503.20150518.194710560.520350.png,61.34,38.372288,-73.979417,1.99,0,0
201503.20150518.195943663.524850.png,60.18,38.388012,-74.002355,1.74,0,0
201503.20150518.200830838.528000.png,59.18,38.398498,-74.018532,2.1,0,0
201503.20150518.201554494.530650.png,58.56,38.40728,-74.031983,2.38,0,0
201503.20150518.202244521.533100.png,58.35,38.415253,-74.044207,1.99,0,0
201503.20150518.202605350.534300.png,57.83,38.419153,-74.049967,1.65,0,0
201503.20150518.202720662.534750.png,57.91,38.42064,-74.05216,2.26,0,0
201503.20150518.203817549.538675.png,58.87,38.43375,-74.071285,2.02,0,0
201503.20150518.204027583.539450.png,58.96,38.436395,-74.075098,2.23,0,0
201503.20150518.204323294.540500.png,58.63,38.439932,-74.080173,1.63,0,0
201503.20150518.205248132.543875.png,55.66,38.451493,-74.096773,2.32,0,0
201503.20150518.205510398.544725.png,55.25,38.45443,-74.100947,2.36,0,0
201503.20150518.210945013.549950.png,53.07,38.472883,-74.127207,1.92,0,0
201503.20150518.211442219.551725.png,51.78,38.478958,-74.136527,1.93,0,0
201503.20150518.213011052.557275.png,50.88,38.497552,-74.166398,1.85,0,0
201503.20150518.213520660.559125.png,51.16,38.503773,-74.17648,1.62,0,0
201503.20150518.214145584.561425.png,54.71,38.511452,-74.188998,2.3,0,0
201503.20150518.225746082.588675.png,41.42,38.602437,-74.332295,1.77,0,0
201503.20150518.233944805.603725.png,34.36,38.659577,-74.392265,1.61,0,0
201503.20150519.003622162.624025.png,37.67,38.73706,-74.308082,1.54,0,0
201503.20150519.015046419.650700.png,50.11,38.66427,-74.17014,2.01,0,0
201503.20150519.015851744.653600.png,48.86,38.654338,-74.155112,2.06,0,0
201503.20150519.021051385.657900.png,51.29,38.639318,-74.13265,1.89,0,0
201503.20150519.022303577.662275.png,53.25,38.624267,-74.109535,2.07,0,0
201503.20150519.024342016.669675.png,55.93,38.598997,-74.070642,1.86,0,0
201503.20150519.025803903.674825.png,53.07,38.580077,-74.044385,1.88,0,0
201503.20150519.030241219.425.png,53.86,38.574113,-74.035892,2.12,0,0
201503.20150519.030648075.1900.png,54.36,38.568765,-74.02809,1.59,0,0
201503.20150519.031436673.4700.png,54.53,38.558587,-74.013368,1.99,0,0
201503.20150519.031744943.5825.png,53.39,38.55445,-74.007475,2.04,0,0
201503.20150519.032049043.6925.png,50.69,38.550395,-74.001723,1.93,0,0
201503.20150519.032208530.7400.png,51.78,38.548597,-73.999197,1.65,0,0
201503.20150519.033001321.10225.png,50.66,38.538762,-73.98537,1.82,0,0
